word,category,description,correct_option,options
complement,medium,to improve or make complete by pairing well,3,"['to bend into a different shape', 'planned but not definite', 'to move around a large area with little direction or plan', 'to improve or make complete by pairing well']"
scrap,medium,a small piece (usually left after most is gone),2,"['at the beginning', 'to begin or continue with some action', 'a small piece (usually left after most is gone)', 'to figure out or explain the meaning of something']"
elegant,medium,"beautiful, graceful",2,"['to cause to happen', 'to reach the highest or most developed point', 'beautiful, graceful', 'a set of rules about what to do in formal situations']"
convey,medium,to communicate information,0,"['to communicate information', 'to disagree with each other, an argument, long battle, or difference of opinions', 'to argue, usually in a formal, polite way. a formal, polite argument', 'clearly different from another thing']"
specimen,medium,a small amount or individual used for studying the whole thing or group,2,"['to have control over a process so that it functions properly', 'other possibility or option, different, other than the main option', 'a small amount or individual used for studying the whole thing or group', 'very little, not enough']"
accumulate,medium,to come together into a large number or amount over time,2,"['a group of people living or working together', 'to cause to happen', 'to come together into a large number or amount over time', 'clearly unusual (used for people or behavior)']"
scarce,medium,"very little, not enough",0,"['very little, not enough', 'yearly, happening every year', 'one of several things that covers somethings else, to cover something with several coverings', 'found or happening inside (a body, organization, or thing)']"
provoke,medium,to cause to happen (usually a bad reaction),0,"['to cause to happen (usually a bad reaction)', 'separate and very different', 'too large and difficult to handle', 'planned but not definite']"
overwhelm,medium,to become too much to handle,2,"['to help something continue, to keep going', 'to make two things be logical together', 'to become too much to handle', 'having more than one possible meaning']"
convoluted,medium,complicated and difficult to understand,3,"['to take out by force', 'an acknowledge defeat', ""to attach something so that it won't come off, to get something important, to be safe"", 'complicated and difficult to understand']"
tentative,medium,planned but not definite,1,"['to give something, to help reach a goal. to add to the cause of something bigger', 'planned but not definite', 'happening or being before', 'to try very hard to accomplish']"
absent,medium,"not where it is expected, missing",2,"['planned but not definite', 'to cause to separate and go in different direction', 'not where it is expected, missing', 'to bend into a different shape']"
controversy,medium,a strong disagreement among many people,0,"['a strong disagreement among many people', 'control or responsibility (over people, area, or laws)', 'to cover part of, be in the same place or time', 'a job or function, a position']"
culminate,medium,to reach the highest or most developed point,3,"['to argue, usually in a formal, polite way. a formal, polite argument', 'combining well to improve both parts', 'to disagree with each other, an argument, long battle, or difference of opinions', 'to reach the highest or most developed point']"
ornamental,medium,as a decoration,1,"['to politely say no to an invitation or offer, to become less, a slow continuous loss of value', 'as a decoration', 'to spend money, energy or time on something hoping for good results later', 'to argue, usually in a formal, polite way. a formal, polite argument']"
emit,medium,"to sent out into the air (used for light, sound,smell etc.)",2,"['to make two things be logical together', 'strong and full', 'to sent out into the air (used for light, sound,smell etc.)', 'to stay for longer than expected']"
prestigious,medium,very well known and respected as high quality,3,"['a set of beliefs or a culture that is passed from family to family over a long period of time', 'to figure out or explain the meaning of something', 'to sent out into the air (used for light, sound,smell etc.)', 'very well known and respected as high quality']"
concede,medium,an acknowledge defeat,2,"['to completely destroy', 'a part of something (usually part of an idea)', 'an acknowledge defeat', 'to make unclear, known by only a few']"
hazard,medium,a danger,2,"['the running of something or an organization, the people in charge of running an organization', 'equal', 'a danger', 'to leave one are to live in another']"
momentum,medium,the force from moving,1,"['to try to prevent, show opposition to', 'the force from moving', 'a small piece (usually left after most is gone)', 'causing a lot of disagreement']"
deter,medium,"to try to prevent, show opposition to",1,"['an acknowledge defeat', 'to try to prevent, show opposition to', 'a system of connected pieces (especially for transportation or communication)', 'work, effort']"
foster,medium,to help to growth of something,2,"['not made correctly and not working', 'as a representative of somebody', 'to help to growth of something', 'other possibility or option, different, other than the main option']"
overcome,medium,win a victory over,3,"['the distance between two things, to be between a set minimum and maximum', 'sudden and unexpected or short', 'at the beginning', 'win a victory over']"
constraint,medium,something that limits or restricts,2,"['more than is needed, overly expensive', 'sudden and unexpected or short', 'something that limits or restricts', 'to officially order a new rule, tax or punishment']"
consent,medium,to give permission,0,"['to give permission', 'existing across a large area or number of people', 'to give something, to help reach a goal. to add to the cause of something bigger', 'the running of something or an organization, the people in charge of running an organization']"
compel,medium,make someone do something,3,"['more than is needed, overly expensive', 'win a victory over', 'to change the from what it should be into something different', 'make someone do something']"
downfall,medium,a sudden loss of power or success,0,"['a sudden loss of power or success', 'to show or reveal something that was hidden', 'a danger', 'to have knowledge of']"
reconcile,medium,to make two things be logical together,1,"['complicated and difficult to understand', 'to make two things be logical together', 'yearly, happening every year', 'causing a lot of disagreement']"
gratify,medium,to make happy or satisfied,2,"['to bend into a different shape', 'to get or secure something', 'to make happy or satisfied', 'more than is needed, overly expensive']"
hierarchy,medium,a system made of levels of power,0,"['a system made of levels of power', 'continuing forever without pause', 'to stay for longer than expected', 'the study of knowledge, a basic idea of a person or organization that affects their actions']"
coherent,medium,logical and understandable,2,"['a disadvantage, a negative part', 'planned but not definite', 'logical and understandable', 'existing across a large area or number of people']"
readily,medium,without much difficulty or delay,2,"['only if', 'to create a connection between two or more things, a connection between two things', 'without much difficulty or delay', 'to cover part of, be in the same place or time']"
undertake,medium,promise to do or start to do a large and difficult project,3,"['helping to make happen', 'to be a different size, amount, or character when compared to something else in a similar group', 'a person who actively supports an idea', 'promise to do or start to do a large and difficult project']"
ambiguous,medium,having more than one possible meaning,3,"['to help something continue, to keep going', 'beautiful, graceful', 'exact, carefully defined', 'having more than one possible meaning']"
impose,medium,"to officially order a new rule, tax or punishment",1,"['to force to remove to another place', 'to officially order a new rule, tax or punishment', 'to get or secure something', 'to live in a place']"
endeavor,medium,to try very hard to accomplish,3,"['a small amount or individual used for studying the whole thing or group', 'the distance between two things, to be between a set minimum and maximum', 'to create a basic picture or plan quickly', 'to try very hard to accomplish']"
drawback,medium,"a disadvantage, a negative part",2,"['a job or function, a position', 'clearly different from another thing', 'a disadvantage, a negative part', 'to make happy or satisfied']"
behalf,medium,as a representative of somebody,1,"['a small amount or individual used for studying the whole thing or group', 'as a representative of somebody', 'make someone do something', 'to make happy or satisfied']"
perpetual,medium,continuing forever without pause,3,"['to disagree with each other, an argument, long battle, or difference of opinions', 'the running of something or an organization, the people in charge of running an organization', 'to sent out into the air (used for light, sound,smell etc.)', 'continuing forever without pause']"
migrate,medium,to leave one are to live in another,0,"['to leave one are to live in another', 'to try very hard to accomplish', 'to continue to exist, to live through bad experiences', 'make someone do something']"
via,medium,by going through or using,2,"['to match the rule or standard', 'to have knowledge of', 'by going through or using', 'to move something a short distance, a small change in position or direction']"
linger,medium,to stay for longer than expected,2,"['to give out something', 'large enough or important enough to get special notice', 'to stay for longer than expected', 'very many, more than enough']"
slender,medium,thin and attractive,2,"['to match the rule or standard', 'to communicate information', 'thin and attractive', 'not having any of']"
integral,medium,"very important, necessary",0,"['very important, necessary', 'large enough or important enough to get special notice', 'something good coming from an action, agreement, idea, or plan', 'to spend money, energy or time on something hoping for good results later']"
extract,medium,to take out by force,2,"['to fix, especially something torn or broken', 'simple and made without skill, not processed', 'to take out by force', 'continuing forever without pause']"
roam,medium,to move around a large area with little direction or plan,2,"['to make unclear, known by only a few', 'make someone do something', 'to move around a large area with little direction or plan', 'existing across a large area or number of people']"
sketch,medium,to create a basic picture or plan quickly,0,"['to create a basic picture or plan quickly', 'at the beginning', 'equal', 'the study of knowledge, a basic idea of a person or organization that affects their actions']"
revolutionary,medium,very new and creating a big change,3,"['to force to remove to another place', 'a part of something (usually part of an idea)', 'simple and made without skill, not processed', 'very new and creating a big change']"
disparate,medium,separate and very different,1,"['to have control over a process so that it functions properly', 'separate and very different', 'to show or reveal something that was hidden', 'a sudden loss of power or success']"
trigger,medium,to cause to happen,2,"['lack of interest', 'to shine or reflect small bits of light', 'to cause to happen', 'something that limits or restricts']"
impending,medium,happening very soon,0,"['happening very soon', 'a belief, an idea', 'very new and creating a big change', 'thin and attractive']"
courteous,medium,polite and respectful,0,"['polite and respectful', 'a person who actively supports an idea', 'happening very soon', 'a small amount or individual used for studying the whole thing or group']"
widespread,medium,existing across a large area or number of people,2,"['to show or reveal something that was hidden', 'to improve or make complete by pairing well', 'existing across a large area or number of people', 'clearly unusual (used for people or behavior)']"
coincide,medium,to happen at the same time,1,"['a group of people living or working together', 'to happen at the same time', 'to live in a place', 'other possibility or option, different, other than the main option']"
foe,medium,an enemy,1,"['to get or secure something', 'an enemy', 'to make happy or satisfied', 'work, effort']"
controversial,medium,causing a lot of disagreement,0,"['causing a lot of disagreement', 'to make hard or impossible to make progress', 'very large or wide', 'combining well to improve both parts']"
devoid,medium,not having any of,3,"['not easy or impossible to bend', 'very important, necessary', 'to improve or make complete by pairing well', 'not having any of']"
preemptive,medium,done before someone else can do it,2,"['to make hard or impossible to make progress', 'the rank or social class of someone or something, the current situation that something is in', 'done before someone else can do it', 'clearly unusual (used for people or behavior)']"
endure,medium,"to continue to exist, to live through bad experiences",0,"['to continue to exist, to live through bad experiences', 'continuing forever without pause', 'polite and respectful', 'very many, more than enough']"
obscure,medium,"to make unclear, known by only a few",2,"['strong and full', 'a danger', 'to make unclear, known by only a few', 'to have knowledge of']"
conducive,medium,helping to make happen,1,"['to make happy or satisfied', 'helping to make happen', 'clearly different from another thing', 'to cause to happen']"
demolish,medium,to completely destroy,1,"['very beautiful', 'to completely destroy', 'having more than one possible meaning', 'the running of something or an organization, the people in charge of running an organization']"
eccentric,medium,clearly unusual (used for people or behavior),2,"['a system of connected pieces (especially for transportation or communication)', 'not existing anymore', 'clearly unusual (used for people or behavior)', 'the force from moving']"
dusk,medium,the time of the day immediately after sun goes down,1,"['very beautiful', 'the time of the day immediately after sun goes down', 'the time period of an important historical situation', 'the study of knowledge, a basic idea of a person or organization that affects their actions']"
impede,medium,to make hard or impossible to make progress,3,"['to try to prevent, show opposition to', 'not doing what is ordered', 'continuing forever without pause', 'to make hard or impossible to make progress']"
warp,medium,to bend into a different shape,1,"['to give something, to help reach a goal. to add to the cause of something bigger', 'to bend into a different shape', 'not easy or impossible to bend', ""to continue to do something even though it's difficult""]"
indifference,medium,lack of interest,0,"['lack of interest', 'very little, not enough', 'to take out by force', 'to cause to happen']"
complementary,medium,combining well to improve both parts,1,"['to make hard or impossible to make progress', 'combining well to improve both parts', 'to show or reveal something that was hidden', 'a small amount of colour']"
overlap,medium,"to cover part of, be in the same place or time",1,"['a strong disagreement among many people', 'to cover part of, be in the same place or time', 'to officially order a new rule, tax or punishment', 'work, effort']"
bulky,medium,too large and difficult to handle,0,"['too large and difficult to handle', 'to begin or continue with some action', 'a system made of levels of power', 'to bend into a different shape']"
stunning,medium,very beautiful,2,"['other possibility or option, different, other than the main option', 'causing a lot of disagreement', 'very beautiful', 'to bend into a different shape']"
extinct,medium,not existing anymore,1,"['to hold tightly onto', 'not existing anymore', 'to have knowledge of', 'to make something possible']"
mend,medium,"to fix, especially something torn or broken",0,"['to fix, especially something torn or broken', 'one of several things that covers somethings else, to cover something with several coverings', 'to focus attention on something, to come together into a smaller space, to gather', ""to attach something so that it won't come off, to get something important, to be safe""]"
disperse,medium,to cause to separate and go in different direction,1,"['to happen at the same time', 'to cause to separate and go in different direction', 'happening very soon', 'the force from moving']"
cling,medium,to hold tightly onto,3,"['not having any of', 'to give out something', 'the study of knowledge, a basic idea of a person or organization that affects their actions', 'to hold tightly onto']"
abundant,medium,"very many, more than enough",2,"['done before someone else can do it', 'at the beginning', 'very many, more than enough', 'the time period of an important historical situation']"
crude,medium,"simple and made without skill, not processed",3,"['happening very soon', 'to argue, usually in a formal, polite way. a formal, polite argument', 'a feeling of wanting to choose one option', 'simple and made without skill, not processed']"
defiant,medium,not doing what is ordered,2,"['to cause to happen (usually a bad reaction)', 'possible ability that might be used in the future, having the ability to do something in the future', 'not doing what is ordered', 'very important, necessary']"
distort,medium,to change the from what it should be into something different,0,"['to change the from what it should be into something different', 'to make two things be logical together', 'to move around a large area with little direction or plan', 'very large or wide']"
impartial,medium,without preference or bias,2,"['control or responsibility (over people, area, or laws)', 'to cause to happen (usually a bad reaction)', 'without preference or bias', 'possible ability that might be used in the future, having the ability to do something in the future']"
shimmer,medium,to shine or reflect small bits of light,2,"['to create a connection between two or more things, a connection between two things', 'the time of the day immediately after sun goes down', 'to shine or reflect small bits of light', 'as a representative of somebody']"
extravagant,medium,"more than is needed, overly expensive",2,"['clearly different from another thing', 'without preference or bias', 'more than is needed, overly expensive', 'win a victory over']"
conform,medium,to match the rule or standard,1,"['win a victory over', 'to match the rule or standard', 'the time period of an important historical situation', 'to become too much to handle']"
robust,medium,strong and full,1,"['a belief, an idea', 'strong and full', 'separate and very different', 'thin and attractive']"
persevere,medium,to continue to do something even though it's difficult,0,"[""to continue to do something even though it's difficult"", 'not where it is expected, missing', 'only if', 'a set of rules about what to do in formal situations']"
durable,medium,hard to break or damage,2,"['a feeling of wanting to choose one option', 'very new and creating a big change', 'hard to break or damage', 'too large and difficult to handle']"
provided,medium,only if,3,"['to completely destroy', 'very many, more than enough', 'one of several things that covers somethings else, to cover something with several coverings', 'only if']"
resent,medium,to be quietly angry about something somebody else did or said,2,"['a strong disagreement among many people', 'exact, carefully defined', 'to be quietly angry about something somebody else did or said', 'to become too much to handle']"
abrupt,medium,sudden and unexpected or short,0,"['sudden and unexpected or short', 'a small amount or individual used for studying the whole thing or group', 'without preference or bias', 'without much difficulty or delay']"
inclination,medium,a feeling of wanting to choose one option,1,"['only if', 'a feeling of wanting to choose one option', 'win a victory over', 'to reach the highest or most developed point']"
persistent,medium,continuing even though somebody tries to stop it,2,"['as a representative of somebody', 'to leave one are to live in another', 'continuing even though somebody tries to stop it', 'to move around a large area with little direction or plan']"
protocol,medium,a set of rules about what to do in formal situations,3,"['logical and understandable', 'existing across a large area or number of people', 'the running of something or an organization, the people in charge of running an organization', 'a set of rules about what to do in formal situations']"
vast,medium,very large or wide,3,"['a strong disagreement among many people', 'to reach the highest or most developed point', 'continuing even though somebody tries to stop it', 'very large or wide']"
integrate,hard,to become a part of,3,"['the time of evening before complete darkness', 'to follow, to chase, to try to achieve (a dream or goal)', 'an agreement reached by a whole group of people', 'to become a part of']"
objective,hard,"a goal. based in fact, not an opinion, not from personal belief or ideas",1,"['to work or communicate with the different people, groups, or pieces involved in a large project', 'a goal. based in fact, not an opinion, not from personal belief or ideas', 'with uneven edges, torn', 'how a person thinks about the world']"
constrain,hard,"to limit the activity, to restrict",3,"['existing from birth, not learned', 'an agreement reached by a whole group of people', 'something that is not normal, standard or expected', 'to limit the activity, to restrict']"
derive,hard,"to come from, originate from",0,"['to come from, originate from', 'a range of subjects or studies, a field, a discipline', 'to give a good reason for an action or situation (especially one that seem bad)', 'likely to do or happen (usually liable to in a negative way)']"
grant,hard,"to agree to give, to admit, to say something is true",0,"['to agree to give, to admit, to say something is true', 'able to see the most important information to make a decision', 'not used anymore', 'to break (of something very hard)']"
scheme,hard,"a plan, the system by which something is arranged",0,"['a plan, the system by which something is arranged', 'to go back to previous position', 'a feature, a characteristic, a particular part of something', 'not used anymore']"
underlying,hard,forming the basis for something,0,"['forming the basis for something', 'in or relating to the countryside, away from cities', 'to ask for emotionally, to beg', 'a feature, a characteristic, a particular part of something']"
justify,hard,to give a good reason for an action or situation (especially one that seem bad),0,"['to give a good reason for an action or situation (especially one that seem bad)', 'more than is needed/desired/required', 'unchanging and stubborn', 'a person or thing with the same function as another in a different place']"
area,hard,"a range of subjects or studies, a field, a discipline",3,"['a rule made by an organization, government, or company', ""to say officially that a normal requirement isn't required"", 'to not be caught', 'a range of subjects or studies, a field, a discipline']"
proportion,hard,the size or amount of something compared to the whole or other parts,3,"['to cause to continue', 'to come together into a crowd', 'secret or hidden', 'the size or amount of something compared to the whole or other parts']"
monitor,hard,"to watch the quality or progress of something over time, something or somebody which monitors",3,"['to be the pieces that makes a whole', 'to completely separate in all direction', 'to continue to exist, staying important or common', 'to watch the quality or progress of something over time, something or somebody which monitors']"
entity,hard,a thing that exists or acts as one,0,"['a thing that exists or acts as one', ""to say officially that a normal requirement isn't required"", 'small, warm and comfortable', 'easy to see']"
external,hard,outside (especially of a body or system),0,"['outside (especially of a body or system)', 'unchanging and stubborn', 'longer in one direction', 'to cut from a hard material']"
component,hard,a part of a whole,3,"['moving quickly and lightly', 'quick and energetic', 'with uneven edges, torn', 'a part of a whole']"
compensate,hard,to correct a problem with another positive thing,0,"['to correct a problem with another positive thing', 'very noticeable and unusual', 'of the countryside, simple and old-fashioned', 'to come together into a crowd']"
deduce,hard,"to come to a conclusion through logic and evidence, to figure out",2,"['an agreement reached by a whole group of people', 'existing from birth, not learned', 'to come to a conclusion through logic and evidence, to figure out', 'a color']"
factor,hard,a fact that influences or changes a result,2,"['to care for lovingly', 'impossible to reversed', 'a fact that influences or changes a result', 'to explore and learn about using hands or a tool']"
policy,hard,"a rule made by an organization, government, or company",2,"['to be made of', 'to stop doing', 'a rule made by an organization, government, or company', 'to ask for emotionally, to beg']"
retain,hard,"to keep, to continue to have or contain",3,"['to be made of', 'most frequent or common', 'comfortable when talking to other people', 'to keep, to continue to have or contain']"
principle,hard,a rule or idea that makes the base for a system (often moral),2,"['to try hard to achieve something', 'the material or method used, especially for communication and art', 'a rule or idea that makes the base for a system (often moral)', 'with a very strong effect']"
negate,hard,to make not true or not effective,2,"['not enough in amount', 'to choose not to do', 'to make not true or not effective', 'to work or communicate with the different people, groups, or pieces involved in a large project']"
enforce,hard,to make people follow (a rule or law),2,"['to prove to be false or incorrect', 'only (use to show large amounts of one thing having an effect)', 'to make people follow (a rule or law)', 'possible to do without problem']"
commit,hard,"to do or perform (something very negative), to give all of your energy to something",0,"['to do or perform (something very negative), to give all of your energy to something', 'to add to the end', 'a thing that exists or acts as one', 'most frequent or common']"
consist,hard,to be made of,1,"['a small sickness or cause of physical discomfort', 'to be made of', 'with no emotion or interest', 'not able to produce plants (of lands)']"
core,hard,"central, of fundamental importance, the center of something",0,"['central, of fundamental importance, the center of something', 'a rule made by an organization, government, or company', 'more than is needed/desired/required', 'extremely important in order to succeed']"
institute,hard,"to start (a rule or system), a group or organization that studies or works for something specific",2,"['a small sickness or cause of physical discomfort', 'to be made of', 'to start (a rule or system), a group or organization that studies or works for something specific', 'able to change, changing frequently']"
pursue,hard,"to follow, to chase, to try to achieve (a dream or goal)",2,"['with strong images or colors', 'long and boring', 'to follow, to chase, to try to achieve (a dream or goal)', 'sad and boring or colorless']"
impact,hard,"an effect that changes a situation, to effect strongly, the force of being hit hard",2,"['to come out of', 'perfectly calm', 'an effect that changes a situation, to effect strongly, the force of being hit hard', 'a small piece that is left when most is gone']"
framework,hard,"a structure for a building, system or idea",1,"['giving a feeling that something bad will happen', 'a structure for a building, system or idea', 'to limit the activity, to restrict', 'a plan, the system by which something is arranged']"
apparent,hard,"clearly seen or understood, seeming (but not definitely true)",3,"['to start (a rule or system), a group or organization that studies or works for something specific', 'easy to see', 'very serious', 'clearly seen or understood, seeming (but not definitely true)']"
facilitate,hard,to make easier,1,"['to completely separate in all direction', 'to make easier', 'separate, not the same thing and with no parts in common', 'a period of time in a longer process of change']"
constitute,hard,to be the pieces that makes a whole,0,"['to be the pieces that makes a whole', 'likely to do or happen (usually liable to in a negative way)', 'hidden from view, away from people', 'having a strong, good smell']"
valid,hard,from a reasonable or correct basis,3,"['central, of fundamental importance, the center of something', 'likely to do or happen (usually liable to in a negative way)', 'the material or method used, especially for communication and art', 'from a reasonable or correct basis']"
coordinate,hard,"to work or communicate with the different people, groups, or pieces involved in a large project",1,"['to keep, to continue to have or contain', 'to work or communicate with the different people, groups, or pieces involved in a large project', 'to follow, to chase, to try to achieve (a dream or goal)', 'to cause to continue']"
alter,hard,"to change, to adjust",0,"['to change, to adjust', 'a situation that seems impossible because it is made of opposite things', 'having a strong, good smell', 'a small sickness or cause of physical discomfort']"
capacity,hard,"the amount or volume something can hold, ability (especially mental)",1,"['from a reasonable or correct basis', 'the amount or volume something can hold, ability (especially mental)', 'to grow in number quickly', 'a rule or idea that makes the base for a system (often moral)']"
generate,hard,"to create, to produce (especially energy)",3,"['the health and happiness of a person or group', 'something that is not normal, standard or expected', 'the appearance of objects from a particular direction, a point of view, an opinion', 'to create, to produce (especially energy)']"
diverse,hard,having many different types,0,"['having many different types', 'to watch the quality or progress of something over time, something or somebody which monitors', 'possible to be done successfully', 'to think of or plan an idea or system']"
aspect,hard,"a feature, a characteristic, a particular part of something",0,"['a feature, a characteristic, a particular part of something', 'the health and happiness of a person or group', 'longer in one direction', 'to turn away from a plan or standard']"
perspective,hard,"the appearance of objects from a particular direction, a point of view, an opinion",3,"['with very little colour', 'to prove to be false or incorrect', 'not normal', 'the appearance of objects from a particular direction, a point of view, an opinion']"
welfare,hard,the health and happiness of a person or group,2,"['to attach or tie gently to something (not using glue)', 'difficult and requiring a lot of effort', 'the health and happiness of a person or group', 'small, warm and comfortable']"
perceive,hard,"to be aware of , to sense or feel",0,"['to be aware of , to sense or feel', 'secret or hidden', 'acting as a key part of a process', 'not sharp']"
criteria,hard,the measures by which something is judged or decided,2,"['common throughout a wide area at a certain time', 'to be made of', 'the measures by which something is judged or decided', 'to give a good reason for an action or situation (especially one that seem bad)']"
seek,hard,"to look for, to search",0,"['to look for, to search', 'to move very near an acceptable limit', 'lasting a very short time', 'a small sickness or cause of physical discomfort']"
exclude,hard,"to not include, to keep out of a list or group",3,"['a rule made by an organization, government, or company', 'to cause to happen', 'extremely large', 'to not include, to keep out of a list or group']"
discrete,hard,"separate, not the same thing and with no parts in common",1,"['a small piece that is left when most is gone', 'separate, not the same thing and with no parts in common', 'impossible to reversed', 'secret or hidden']"
subsequent,hard,immediately after,3,"['central, of fundamental importance, the center of something', 'respect from people', 'long and boring', 'immediately after']"
orient,hard,"to move into a position in line with some specific point, to explore and become comfortable with",1,"['a period of time in a longer process of change', 'to move into a position in line with some specific point, to explore and become comfortable with', 'to be made of', 'possible true , realistic']"
phase,hard,a period of time in a longer process of change,2,"['to be the pieces that makes a whole', 'to be aware of , to sense or feel', 'a period of time in a longer process of change', 'with very little colour']"
emerge,hard,to come out of,0,"['to come out of', 'to break (of something very hard)', 'to spread out widely', 'quick and energetic']"
welfare,hard,"the health, happiness, and fortunes of a person or group.",2,"['a person or thing with the same function as another in a different place', 'a feature, a characteristic, a particular part of something', 'the health, happiness, and fortunes of a person or group.', 'to ask for emotionally, to beg']"
fatigue,hard,extreme tiredness from too much work,3,"['to come to a conclusion through logic and evidence, to figure out', 'a plan, the system by which something is arranged', 'a rule or idea that makes the base for a system (often moral)', 'extreme tiredness from too much work']"
dynamic,hard,"able to change, changing frequently",0,"['able to change, changing frequently', 'a thing that exists or acts as one', 'a promised reward to motivate', 'to publicly agree with and support']"
cherish,hard,to care for lovingly,0,"['to care for lovingly', 'to suddenly move or push hard', 'to work or communicate with the different people, groups, or pieces involved in a large project', 'to weaken']"
pale,hard,with very little colour,3,"['extreme tiredness from too much work', 'to make easier', 'something that is not normal, standard or expected', 'with very little colour']"
illusory,hard,"not real, based on an illusion",0,"['not real, based on an illusion', 'experienced through a second person', 'very obvious, without trying to hide', 'hidden from view, away from people']"
slopping,hard,"slanted, higher at one end and lower at the other",0,"['slanted, higher at one end and lower at the other', 'to give a good reason for an action or situation (especially one that seem bad)', 'with no emotion or interest', 'existing from birth, not learned']"
recede,hard,to go back to previous position,3,"['to be the pieces that makes a whole', 'immediately after', 'to add to the end', 'to go back to previous position']"
delusion,hard,an incorrect idea that somebody believes strongly,1,"['to run away from danger', 'an incorrect idea that somebody believes strongly', 'longer in one direction', 'to move into a position in line with some specific point, to explore and become comfortable with']"
astute,hard,able to see the most important information to make a decision,0,"['able to see the most important information to make a decision', 'only (use to show large amounts of one thing having an effect)', 'a large number of something', 'the material or method used, especially for communication and art']"
analogous,hard,similar in some respects but otherwise different,3,"['a little bit chaotic or violent and disorganized', 'the measures by which something is judged or decided', 'to completely destroy', 'similar in some respects but otherwise different']"
detrimental,hard,causing harm or injury,0,"['causing harm or injury', 'in or relating to the countryside, away from cities', 'how a person thinks about the world', 'to grow strong and healthy']"
jolt,hard,to suddenly move or push hard,0,"['to suddenly move or push hard', 'an agreement reached by a whole group of people', 'very light or small', 'existing from birth, not learned']"
successor,hard,a person who has a role after a previous person,0,"['a person who has a role after a previous person', 'able to see the most important information to make a decision', 'to go up and down regularly in amount', 'with strong images or colors']"
instrumental,hard,acting as a key part of a process,2,"['to continue to exist, staying important or common', 'separate, not the same thing and with no parts in common', 'acting as a key part of a process', 'a large number of something']"
append,hard,to add to the end,2,"['able to change, changing frequently', 'complete and very detailed', 'to add to the end', 'to keep, to continue to have or contain']"
preposterous,hard,"completely impossible, ridiculous",1,"['to mention a topic in order to make people feel a certain way', 'completely impossible, ridiculous', 'giving a feeling that something bad will happen', 'an effect that changes a situation, to effect strongly, the force of being hit hard']"
congregate,hard,to come together into a crowd,0,"['to come together into a crowd', 'to attract or persuade with promises of benefits', 'near or close but not necessarily touching', 'difficult and requiring a lot of effort']"
ailment,hard,a small sickness or cause of physical discomfort,3,"['having many different types', 'to spread out widely', 'an agreement reached by a whole group of people', 'a small sickness or cause of physical discomfort']"
propagate,hard,"to separate widely,create more of",0,"['to separate widely,create more of', 'to prove to be false or incorrect', 'a fact that influences or changes a result', 'ordinary and boring']"
incentive,hard,a promised reward to motivate,1,"['a fact that influences or changes a result', 'a promised reward to motivate', 'sad and boring or colorless', 'slanted, higher at one end and lower at the other']"
fraudulent,hard,fake or untrue (generally of illegal claims),1,"['to turn away from a plan or standard', 'fake or untrue (generally of illegal claims)', 'without the possibility of success', 'to get after special effort to find']"
fluctuate,hard,to go up and down regularly in amount,3,"['fake or untrue (generally of illegal claims)', 'more than is needed/desired/required', 'to separate widely,create more of', 'to go up and down regularly in amount']"
twilight,hard,the time of evening before complete darkness,2,"['from a reasonable or correct basis', 'to turn away from a plan or standard', 'the time of evening before complete darkness', 'respect from people']"
counterpart,hard,a person or thing with the same function as another in a different place,0,"['a person or thing with the same function as another in a different place', 'to go back to previous position', 'a fact that influences or changes a result', 'to mention a topic in order to make people feel a certain way']"
anomaly,hard,"something that is not normal, standard or expected",3,"['to cause to continue', 'to look for, to search', 'a comparison of two very different things that have one similar aspect', 'something that is not normal, standard or expected']"
exhaustive,hard,complete and very detailed,1,"['not used anymore', 'complete and very detailed', 'a small piece that is left when most is gone', 'something that is not normal, standard or expected']"
vivid,hard,with strong images or colors,1,"['a very small amount', 'with strong images or colors', 'comfortable when talking to other people', 'uneven and sharp']"
relic,hard,a highly valued object from a very long long time ago,3,"['to go up and down regularly in amount', 'fake or untrue (generally of illegal claims)', 'an area that is higher at one end and lower at the other', 'a highly valued object from a very long long time ago']"
carve,hard,to cut from a hard material,2,"['belonging the most basic nature of something, impossible to remove', 'not normal', 'to cut from a hard material', 'to happen as a result']"
entice,hard,to attract or persuade with promises of benefits,0,"['to attract or persuade with promises of benefits', 'to place among or between other things', 'impossible to reversed', 'to attach or tie gently to something (not using glue)']"
dissipate,hard,to completely separate in all direction,1,"['with no emotion or interest', 'to completely separate in all direction', 'the time of evening before complete darkness', 'to break (of something very hard)']"
strenuous,hard,requiring a lot of physical effort,2,"['to confuse somebody', 'with a very strong effect', 'requiring a lot of physical effort', 'to suddenly move or push hard']"
blunt,hard,not sharp,3,"['a rule or idea that makes the base for a system (often moral)', 'a rule made by an organization, government, or company', 'awkward and without skill', 'not sharp']"
compulsory,hard,required by rule,2,"['perfectly calm', 'very noticeable and unusual', 'required by rule', 'uneven and sharp']"
meticulous,hard,with careful attention to details,3,"['to completely separate in all direction', 'feat that something bad will happen', 'of the countryside, simple and old-fashioned', 'with careful attention to details']"
vanquish,hard,to win completely in a competition or fight,1,"['forming the basis for something', 'to win completely in a competition or fight', 'to be aware of , to sense or feel', 'to be the pieces that makes a whole']"
rustic,hard,"of the countryside, simple and old-fashioned",1,"['to come to a conclusion through logic and evidence, to figure out', 'of the countryside, simple and old-fashioned', 'feat that something bad will happen', 'to work or communicate with the different people, groups, or pieces involved in a large project']"
