question	category	word	correct_option	options
Fill the gaps:  When you're facing a fork in the road, you have two possibilities, or ______s. You could take the left fork and see where it leads, or you could choose the path that goes to the right.	medium	alternative	1	['decline', 'alternative', 'obscure', 'preemptive']
Fill the gaps:  An ______ is a period of time distinguished by a particular character. “It was the Eisenhower ______, when people were more willing to serve in the military.”	medium	era	0	['era', 'complementary', 'aware', 'proceed']
Fill the gaps:  Describe something as ______ if it's really stiff and not very flexible, like a super-strict practice schedule or an unbending, uncomfortable mattress.	medium	rigid	2	['slender', 'robust', 'rigid', 'impede']
Fill the gaps:  An ______ (AD-və-kit) is someone who supports a cause, like an ______ for outdoor recess. ______ (AD-və-kate) is also a verb meaning to speak in favor of, so you can ______ for that outdoor recess by urging your school to play outside!	medium	advocate	0	['advocate', 'prior', 'alternative', 'status']
Fill the gaps:  When you ______ something, you move it to a new position — either in a concrete sense, like moving a chair, or in an abstract sense, like firing someone from a job.	medium	displace	0	['displace', 'coherent', 'emit', 'proceed']
Fill the gaps:  Something that's ______ doesn't work quite right, because it's damaged in some way. Your ______ car probably won't make it all the way to California from New York.	medium	defective	3	['authority', 'controversial', 'momentum', 'defective']
Fill the gaps:  When someone ______s they keep going or hang on. If you want finish a marathon, you have to ______ and keep running, no matter how many blisters you have.	medium	persist	1	['extinct', 'persist', 'slender', 'disparate']
Fill the gaps:  A ______ is a shade or type of color. You might describe ocean water during a storm as having ______s of green and gray.	medium	tint	2	['gratify', 'attribute', 'tint', 'complementary']
Fill the gaps:  A ______ is something that makes up a satisfying whole with something else. Those shiny red shoes you just bought ______ your shiny red purse.	medium	complement	0	['complement', 'labor', 'foe', 'contribute']
Fill the gaps:  A ______ is a little leftover bit of something. You might jot down notes on a ______ of paper, or you might toss a ______ of food to your happy dog.	medium	scrap	2	['coherent', 'element', 'scrap', 'notion']
Fill the gaps:  Nimble ballerinas and long-legged birds are ______; dump trucks and walruses usually are not.	medium	elegant	2	['hazard', 'impartial', 'elegant', 'advocate']
Fill the gaps:  When you ______ something, you carry or deliver it. Little Red Riding Hood ______ed a basket of muffins to her grandmother. Your sad smile might ______ more about your feelings than words ever could.	medium	convey	0	['convey', 'foster', 'obscure', 'labor']
Fill the gaps:  A ______ is a sample of something, like a ______ of blood or body tissue that is taken for medical testing.	medium	specimen	0	['specimen', 'momentum', 'ambiguous', 'foe']
Fill the gaps:  To ______ means to gather, usually in large quantities. Let's hope your boyfriend is not the type to ______ girlfriends.	medium	accumulate	3	['roam', 'defective', 'integral', 'accumulate']
Fill the gaps:  If something is ______, there isn't much of it around. Crops are ______ after a long drought, or you might find babysitters ______ if your kids are a nightmare to watch.	medium	scarce	2	['vary', 'constraint', 'scarce', 'benefit']
Fill the gaps:  Anything that brings about a strong reaction can be said to ______. You can ______ that lion if you want. But if he responds by attacking, don't come running to me.	medium	provoke	3	['range', 'extract', 'precise', 'provoke']
Fill the gaps:  ______ means “give a person too much of something.” If your friend agrees to feed your pet fish while you’re on vacation, don’t ______ her with requests by also asking her to do your laundry and wash the dishes.	medium	overwhelm	2	['attribute', 'enable', 'overwhelm', 'stable']
Fill the gaps:  If something is ______, it's intricate and hard to understand. You'll need to read over your brother's ______ investment scheme a few times before deciding whether or not to go in on it.	medium	convoluted	1	['deter', 'convoluted', 'expose', 'hazard']
Fill the gaps:  Choose the adjective ______ to describe something you are unsure or hesitant about. On Monday, you can make ______ plans for the weekend, but it's too early to commit to one party or another.	medium	tentative	2	['compel', 'role', 'tentative', 'bulky']
Fill the gaps:  ______ means not there. If you ______ yourself from class, you're marked as ______. If you have an ______ parent, it means they don't live with you or take part in your care.	medium	absent	1	['secure', 'absent', 'hazard', 'community']
Fill the gaps:  A ______ is a dispute or argument in which people express strong opposing views. When a popular TV show kills off a well-loved character, there's bound to be a lot of ______.	medium	controversy	0	['controversy', 'conflict', 'shimmer', 'via']
Fill the gaps:  The verb ______ is used to describe a high point or a climactic stage in a process. For example, the goal of a Major League baseball team is to have their season ______ in a World Series victory.	medium	culminate	0	['culminate', 'provoke', 'controversial', 'consent']
Fill the gaps:  If something is ______, it's a decoration. The red feather in your cap is most definitely ______; it serves no purpose other than providing a splash of color.	medium	ornamental	2	['indifference', 'alternative', 'ornamental', 'sustain']
Fill the gaps:  To ______ means to give off or let out, and it usually has a lot to do with gases, smells and noises. All of which could be potentially embarrassing, depending on where they're coming from.	medium	emit	2	['stable', 'convoluted', 'emit', 'community']
Fill the gaps:  Eagle Scout is a ______ position within the Boy Scouts.  It requires a lot of hard work over a number of years, and if you become one, lots of people will respect you.	medium	prestigious	0	['prestigious', 'emit', 'labor', 'compel']
Fill the gaps:  If you ______ something, you admit that it is true, proper, or certain — usually in an unwilling way and often in the context of a competition, as in "At midnight, the candidate finally ______d defeat."	medium	concede	1	['role', 'concede', 'conducive', 'controversy']
Fill the gaps:  If something is a ______, it is a potential source of danger. Balloons are fun, but they're a ______ for little kids who might put them in their mouths.	medium	hazard	3	['impending', 'equivalent', 'era', 'hazard']
Fill the gaps:  ______ is generally used to mean increasing forward motion. A boulder rolling down a hill gains ______. So does a great idea, a team on a winning streak, or the economy.	medium	momentum	0	['momentum', 'annual', 'expose', 'status']
Fill the gaps:  ______ means to discourage, or literally “to frighten away.” Halloween decorations that are too scary might ______ trick-or-treaters, and the risk of being expelled ______s kids from cheating in school.	medium	deter	3	['devoid', 'layer', 'abundant', 'deter']
Fill the gaps:  To ______ is to nurture something. A teacher could ______ creativity by providing crayons to every student. You can also ______ a child, which means the child lives in your home for a time.	medium	foster	0	['foster', 'benefit', 'obscure', 'concede']
Fill the gaps:  Use the verb ______ when you talk about someone who has triumphed over adversity. It's great to see a friend who's always struggled in school ______ his learning disabilities and make the honor roll.	medium	overcome	3	['decline', 'prior', 'conducive', 'overcome']
Fill the gaps:  A ______ is a limit or restriction. Hopefully your school won't cut the sports or music programs due to budget ______s!	medium	constraint	3	['distinct', 'reside', 'compel', 'constraint']
Fill the gaps:  Before you have surgery, you'd better give your ______, because the surgeon can't get his scalpel anywhere near your skin without first getting this permission from you.	medium	consent	2	['compel', 'complement', 'consent', 'estimate']
Fill the gaps:  ______ means to force or drive someone to do something. Even if you don't like toast, when you visit the toast-eating natives of Shrintakook Island, you'll be ______led to eat it, or they will not trust you.	medium	compel	3	['warp', 'extract', 'attribute', 'compel']
Fill the gaps:  A ______ is a sudden drop in status or strength. You might be winning at Monopoly until your opponents decide to team up against you, which leads to your ______.	medium	downfall	3	['contribute', 'extinct', 'distribute', 'downfall']
Fill the gaps:  Reach for the verb ______ to make different things come together or resolve a matter.	medium	reconcile	1	['warp', 'reconcile', 'reside', 'proceed']
Fill the gaps:  To ______ is to give satisfaction. So if you've managed to get straight A's in school, what you did was ______ your parents — and it probably felt pretty good to you too.	medium	gratify	1	['authority', 'gratify', 'aware', 'invest']
Fill the gaps:  ______ describes a system that organizes or ranks things, often according to power or importance. At school the principal is at the top of the staff ______, while the seniors rule the student ______.	medium	hierarchy	0	['hierarchy', 'slender', 'complementary', 'linger']
Fill the gaps:  Something ______ is logical and clear. "I told you if you didn't do your homework you couldn't watch TV. You didn't do your homework so you can't watch TV." This is a ______ argument (and annoying as well).	medium	coherent	1	['endeavor', 'coherent', 'consent', 'conform']
Fill the gaps:  Anything happening ______ is happening without difficulty. A great party has cupcakes that are ______ available. A great host will ______ admit when it’s time to put more on the table.	medium	readily	0	['readily', 'complementary', 'resent', 'migrate']
Fill the gaps:  When you ______ a task or challenge, you attempt to accomplish it. If you want to ______ a verbal challenge right now, try saying “sushi chef” ten times quickly without messing up.	medium	undertake	2	['persistent', 'interpret', 'undertake', 'community']
Fill the gaps:  Look to the adjective ______ when you need to describe something that's open to more than one interpretation, like the headline "Squad helps dog bite victim."	medium	ambiguous	1	['notion', 'ambiguous', 'hazard', 'hierarchy']
Fill the gaps:  To ______ means to force or inflict something on someone else. If you want to ______ your musical taste on your parents, play your tunes all day at top volume.	medium	impose	2	['devoid', 'impartial', 'impose', 'interpret']
Fill the gaps:  When you ______ to do something, you try hard to make it happen. A determined student might ______ to get straight As on her report card.	medium	endeavor	2	['authority', 'warp', 'endeavor', 'crude']
Fill the gaps:  A ______ is a disadvantage or slight problem. Some ______s to adopting a puppy can include lost sleep, having your sneakers gnawed on, and spending too much money at the vet.	medium	drawback	0	['drawback', 'hierarchy', 'estimate', 'specimen']
Fill the gaps:  ______ means speaking or acting for someone. A parent can sign forms on ______ of children when they are young, but adult children can sign on ______ of their aging parents.	medium	behalf	0	['behalf', 'persistent', 'stable', 'regulate']
Fill the gaps:  Use the adjective ______ to describe something that never ends or changes. If you're a ______ procrastinator, your dilly-dallying ways are never going to improve.	medium	perpetual	2	['sketch', 'enable', 'perpetual', 'extract']
Fill the gaps:  To ______ means to move from one place to another, sometimes part of a back-and-forth pattern, and sometimes to stay.	medium	migrate	1	['contribute', 'migrate', 'concede', 'readily']
Fill the gaps:  When someone ______s, he or she takes an unexpectedly long time to depart, as Romeo ______s when bidding Juliet farewell (or as annoying houseguests almost always tend to do).	medium	linger	0	['linger', 'considerable', 'hazard', 'enable']
Fill the gaps:  Something ______ is slight, or skinny. A young colt is ______ compared to the full grown horse it will grow into.	medium	slender	0	['slender', 'rigid', 'enable', 'abundant']
Fill the gaps:  Something that is ______ is very important or necessary. If you are an ______ part of the team, it means that the team cannot function without you.	medium	integral	0	['integral', 'reside', 'internal', 'era']
Fill the gaps:  When you ______ something, you remove it from a larger whole. You can ______ a passage from a book, or a liquid essence from a vanilla bean—vanilla ______.	medium	extract	1	['endeavor', 'extract', 'regulate', 'network']
Fill the gaps:  When you wander without a plan or a specific destination, you ______. Your cat may stay close to your house when you let her outside, or she may ______ around the neighborhood all day.	medium	roam	1	['internal', 'roam', 'impartial', 'benefit']
Fill the gaps:  A ______ is a rough or brief outline of something. If you hand in a ______, instead of your full paper, don't expect to get a very high grade!	medium	sketch	0	['sketch', 'conducive', 'defective', 'hierarchy']
Fill the gaps:  A ______ person fearlessly advocates radical change. ______ people and ideas challenge the status quo and might be violent or willing to upset the natural order to achieve their goals.	medium	revolutionary	3	['dusk', 'extinct', 'emit', 'revolutionary']
Fill the gaps:  The trunk of some people's cars may contain items as ______ as old clothes, rotting food, and possibly a missing relative. ______ things are very different from each other.	medium	disparate	3	['distinct', 'stable', 'behalf', 'disparate']
Fill the gaps:  A ______ is a metal lever that when pulled discharges a gun. You shoot the gun by pulling the ______. ______ can also mean the start of a process––violent protests might ______ a revolution.	medium	trigger	1	['endeavor', 'trigger', 'annual', 'attribute']
Fill the gaps:  If something is ______, it is about to happen. If you hear thunder in the distance, you might go inside to escape the ______ storm.	medium	impending	3	['proceed', 'impose', 'widespread', 'impending']
Fill the gaps:  If you are ______, your good manners show friendliness and concern for others, like your ______ habit of holding the door for people entering a building with you.	medium	courteous	2	['tentative', 'hazard', 'courteous', 'distribute']
Fill the gaps:  ______ means far-reaching. For years, email was used only by computer programmers and technophiles. It was hard to imagine, back them, how ______ the phenomenon of digital communication would become.	medium	widespread	2	['sketch', 'behalf', 'widespread', 'initial']
Fill the gaps:  When things happen at the same time, they are said to ______. Often, this is because they're intentionally coordinated — "the bake sale ______d with Parent Day" — but not always.	medium	coincide	3	['administration', 'potential', 'concentrate', 'coincide']
Fill the gaps:  A ______ is an enemy. ______s can range from an adversary of one person to that of a nation, from “he is my ______” to “they are my ______.” There is also a “that is my ______” who those who are trying to diet know well, aka chocolate.	medium	foe	1	['specimen', 'foe', 'extract', 'hazard']
Fill the gaps:  If a politician ran for office on the platform that children should be put to work from age six, his platform is likely to be ______, meaning it will cause controversy, or a long discussion among people with opposing opinions.	medium	controversial	0	['controversial', 'rigid', 'cling', 'hazard']
Fill the gaps:  You're stranded in the ocean, miles from shore, clinging to a sinking boat, and you can't swim? Sorry to say, your situation is ______ of all hope.	medium	devoid	3	['considerable', 'conform', 'impartial', 'devoid']
Fill the gaps:  A ______ action is made to keep some other action from being taken.  Before you could be accused of eating the whole cake, you decided to make a ______ apology, which was met with awkward silence.	medium	preemptive	0	['preemptive', 'indifference', 'complement', 'expose']
Fill the gaps:  If something ______s, it lasts: Beethoven's fame has ______d for more than 200 years. But if you ______ something, you suffer through it: We ______d our teacher's slide shows of her vacation photographs.	medium	endure	3	['conducive', 'status', 'expose', 'endure']
Fill the gaps:  If something is ______, it's vague and hard to see. Be careful if you're driving in heavy rain — the painted lines can be ______.	medium	obscure	0	['obscure', 'linger', 'slender', 'correspond']
Fill the gaps:  ______ means tending to cause or produce something. Regular exercise is ______ to happiness and a feeling of well-being.	medium	conducive	2	['eccentric', 'concentrate', 'conducive', 'debate']
Fill the gaps:  ______ means “completely destroy,” as a wrecking ball might ______ a building, or as hanging out with one’s parents might, supposedly, ______ a teenager’s reputation.	medium	demolish	0	['demolish', 'extract', 'readily', 'ambiguous']
Fill the gaps:  You're most likely to encounter the adjective ______ in a description of an unusual or quirky person — like a scatterbrained aunt who leaves her life savings to her cat.	medium	eccentric	3	['specimen', 'role', 'coincide', 'eccentric']
Fill the gaps:  ______ is the period of time between sunset and nightfall. Many parents allow their children to roam freely in their neighborhood as long as they are home by ______.	medium	dusk	2	['absent', 'coherent', 'dusk', 'ornamental']
Fill the gaps:  To ______ something is to delay or block its progress or movement. Carrying six heavy bags will ______ your progress if you're trying to walk across town in a hurry.	medium	impede	3	['tradition', 'site', 'foster', 'impede']
Fill the gaps:  To ______ is to bend, twist, or otherwise become misshapen. Wooden furniture left outside in the rain will often ______ from the moisture.	medium	warp	0	['warp', 'initial', 'prestigious', 'vary']
Fill the gaps:  ______ is the trait of lacking interest or enthusiasm in things. When you feel ______ for something, you neither like it nor dislike it.	medium	indifference	3	['mend', 'inclination', 'philosophy', 'indifference']
Fill the gaps:  If something is ______, then it somehow completes or enhances the qualities of something else. If your beautiful voice is completely ______ to your brother's song writing skills, you should form a family band!	medium	complementary	3	['regulate', 'persist', 'elegant', 'complementary']
Fill the gaps:  When things ______, part or all of one thing covers part or all of the other, like roofing shingles or flat noodles in a lasagna dish.	medium	overlap	1	['contribute', 'overlap', 'indifference', 'expose']
Fill the gaps:  A giant box you need to carry to the post office, clothes you wear in the snow — both of these things are ______ or large and difficult to deal with.	medium	bulky	1	['compel', 'bulky', 'provided', 'initial']
Fill the gaps:  Someone who is strikingly beautiful can be described as ______. There's something magical about weddings that makes every bride look ______.	medium	stunning	3	['displace', 'disperse', 'reside', 'stunning']
Fill the gaps:  Something that no longer exists and has no living representative is ____. Dinosaurs are ____. Polar bears may become ____. Sadly, history teachers who force their students to memorize long lists of dates are in no danger of becoming ____.	medium	extinct	3	['overwhelm', 'ambiguous', 'role', 'extinct']
Fill the gaps:  When you ______ something, you fix it or make it better. If you can ______ your broken lamp, then it will shine again. If not you'll have to sit in the dark.	medium	mend	3	['constraint', 'preemptive', 'dusk', 'mend']
Fill the gaps:  To make a crowd at a party ______, you could take away the food, turn off the music and ask for volunteers to clean up. ______ is to spread out people or things, making them move in different directions.	medium	disperse	3	['demolish', 'hazard', 'site', 'disperse']
Fill the gaps:  To ______ is to tightly grasp something or to stick closely to something, like how wet clothes ______ to the wearer.	medium	cling	3	['stable', 'conflict', 'estimate', 'cling']
Fill the gaps:  On Halloween, you can find candy in ______ supply. Use ______ to describe something that exists in large amounts that are more than what's needed.	medium	abundant	3	['trigger', 'potential', 'robust', 'abundant']
Fill the gaps:  Is it gross? Unsophisticated? Totally tasteless and positively offensive? Then you can describe it as ______.	medium	crude	1	['perpetual', 'crude', 'foe', 'proceed']
Fill the gaps:  Have you ever seen a picture of a protester who is about to be carried off by police but is still shouting or resisting, fighting to the bitter end? That person is ______.	medium	defiant	0	['defiant', 'correspond', 'impartial', 'overlap']
Fill the gaps:  ______ means to twist out of shape. When you look at a tree through a twisting kaleidoscope, you ______ its image, making its branches and leaves look wavy and misshapen.	medium	distort	3	['momentum', 'stunning', 'hazard', 'distort']
Fill the gaps:  If you're in a contest, you'd better hope the judges are ______. That means that they aren't biased toward one competitor over another.	medium	impartial	2	['authority', 'resent', 'impartial', 'obtain']
Fill the gaps:  When you ______ you shine, although sometimes quite weakly.	medium	shimmer	2	['provided', 'ambiguous', 'shimmer', 'reconcile']
Fill the gaps:  ______ is an adjective that means expensive, excessive, and over the top. A modest chandelier in your dining room is normal. But crystal-studded walls and gold-plated goblets? That's a bit ______.	medium	extravagant	0	['extravagant', 'hierarchy', 'culminate', 'vary']
Fill the gaps:  To ______ means to adapt to fit in with new conditions. So if you travel to Morocco, you should ______ to the local custom and adjust your usual wardrobe to one that is more modest.	medium	conform	3	['impending', 'extract', 'distinct', 'conform']
Fill the gaps:  Use ______ to describe a person or thing that is healthy and strong, or strongly built. This adjective also commonly describes food or drink: a ______ wine has a rich, strong flavor.	medium	robust	3	['elegant', 'link', 'authority', 'robust']
Fill the gaps:  Use the verb ______ when you want to persist in anything and continue despite difficulties or obstacles.	medium	persevere	1	['complementary', 'persevere', 'via', 'bulky']
Fill the gaps:  Something that is built to last is ______. Your most ______ pair of hiking boots will last you through your trek to the summit of Mount Everest.	medium	durable	1	['resent', 'durable', 'considerable', 'impending']
Fill the gaps:  To ____ means to give or supply. When you stay in a bed and breakfast, the innkeeper will generally _____ you with a meal in the morning as part of the price of the room.	medium	provide	3	['indifference', 'complement', 'era', 'provide']
Fill the gaps:  To ______ something is to feel anger or bitterness toward it. You might ______ someone who has treated you poorly.	medium	resent	2	['annual', 'compel', 'resent', 'displace']
Fill the gaps:  An ______ decision is one you make suddenly. An ______ halt is one the Road Runner comes to when reaching an ______ drop-off — you'd hear brakes squealing.	medium	abrupt	0	['abrupt', 'warp', 'specimen', 'internal']
Fill the gaps:  You can see the word "incline" inside ______, which clues you in to the fact that ______ has to do with leaning. Sometimes the ______ is literal; in most cases it's about what you incline toward in a figurative sense.	medium	inclination	3	['bulky', 'constraint', 'alternative', 'inclination']
Fill the gaps:  If something is ______, it just won't stop. If you're ______ in your suggestions for a trip to Mexico, maybe your parents will eventually give in and take you there.	medium	persistent	1	['rigid', 'persistent', 'preemptive', 'decline']
Fill the gaps:  ______ is most often used when talking about the rules of government or official agencies. It is derived from the French and refers to the correct rules of etiquette for diplomats.	medium	protocol	1	['precise', 'protocol', 'authority', 'drawback']
Fill the gaps:  If you’re in a boat out on the water and you can’t see any land, then the body of water you’re in is probably ______, or enormous.	medium	vast	1	['migrate', 'vast', 'benefit', 'ambiguous']
Fill the gaps:  To ______ is to make parts of something into a whole. It also means to become one unit, or to make a place (like a school) open to people of all races and ethnic groups.	hard	integrate	0	['integrate', 'policy', 'secluded', 'ingenuity']
Fill the gaps:  An ______ is something you plan to achieve. A military ______ is the overall plan for a mission. The ______ for a bake sale is to raise money. If your ______ is to learn a new word, you have succeeded.	hard	objective	3	['medium', 'core', 'turbulent', 'objective']
Fill the gaps:  To ______ is to hold back, restrain, or confine. If you've ever had to ______ a toddler in the middle of a temper tantrum, you know you have to watch out for flailing limbs.	hard	constrain	0	['constrain', 'conspicuous', 'stall', 'intersperse']
Fill the gaps:  If you want to talk about something that comes from something else, but you want to sound sophisticated and maybe financial or scientific, use ______, like so: That scent? It's ______d from a solution of roses boiled with toothpicks.	hard	derive	0	['derive', 'strenuous', 'entity', 'meticulous']
Fill the gaps:  You can ______ anything from a permanent restraining order to a request for time off, or, if you’re a genie, seven wishes. When you ______ something you are letting someone have or do something that they are asking for.	hard	grant	1	['futile', 'grant', 'harness', 'brisk']
Fill the gaps:  A ______ is an elaborate plan or plot. It's going to take a really solid ______, probably involving teleportation or some sort of temporary cloning, to make an appearance at both parties at once.	hard	scheme	1	['invoke', 'scheme', 'affluent', 'underlying']
Fill the gaps:  The obvious meaning of ____ refers to something beneath something else. But the word carries a more subtle meaning, that of something hidden but important, something that shapes the meaning of something else, without being explicit itself.	hard	underlying	0	['underlying', 'mundane', 'principle', 'remnant']
Fill the gaps:  To ______ is to make excuses for one's actions, like the dieter who has to ______ the few tiny pieces of chocolate she's sneaked in between salads.	hard	justify	0	['justify', 'potent', 'proliferate', 'cozy']
Fill the gaps:  The ______ is a part of a place, usually defined by a function. If you can't stop talking, don't sit in the quiet ______ of the library.	hard	area	0	['area', 'perspective', 'induce', 'negate']
Fill the gaps:  ______ is about balance and how things fit together harmoniously. For example "That hound dog's tiny legs look out of ______ to that big fat body."	hard	proportion	0	['proportion', 'fraudulent', 'procure', 'rural']
Fill the gaps:  A ______ is a device or a person who watches or checks to see that all is going well. If you're babysitting, you might use a baby ______ so you can hear if the baby cries in its sleep.	hard	monitor	2	['flee', 'sheer', 'monitor', 'relic']
Fill the gaps:  If your little sister turns her lemonade stand into a lemonade empire, she might incorporate it as a company. Under the law, it would be considered an ______, or a separate being for purposes of government control.	hard	entity	3	['strenuous', 'orient', 'refute', 'entity']
Fill the gaps:  If, as a kid, you didn’t get what you wanted on your birthday, you were probably told that ______, or outward, things can’t bring happiness. (It’s a noble idea, but it’s still up for debate, at least in some circles.)	hard	external	2	['remnant', 'shred', 'external', 'confer']
Fill the gaps:  It's the Ikea curse: You spend four hours figuring out how to piece together your new furniture, only to be left with one random ______, or part, that doesn't seem to fit anywhere.	hard	component	2	['predominant', 'fasten', 'component', 'profound']
Fill the gaps:  ______ is about correcting for an imbalance. If you step in an unmarked pothole, the city may ______ you by paying your doctor bills treating a broken ankle.	hard	compensate	3	['apprehension', 'affluent', 'pivotal', 'compensate']
Fill the gaps:  To ______ is to figure something out based on what you already know. When you see a person crying, it's easy to ______ that the person is sad. Unless they're happy, of course. Sometimes happy people cry.	hard	deduce	0	['deduce', 'meticulous', 'seek', 'relic']
Fill the gaps:  A ______ is a part or element that contributes to a result. If you only fly budget airlines and refuse to stay anywhere but youth hostels, then money is probably a big ______ in your travel plans.	hard	factor	2	['welfare', 'cherish', 'factor', 'institute']
Fill the gaps:  Did you just come up with a plan for reducing the number of paper clips your department uses at work each month? Then you’ve created a ______, a plan of action.	hard	policy	1	['obsolete', 'policy', 'successor', 'calamity']
Fill the gaps:  ______ means to hold on to or keep. People who can ______ a lot of information are often mistaken for geniuses, but really they just have very good memories.	hard	retain	1	['fatigue', 'retain', 'affluent', 'phase']
Fill the gaps:  A ______ is a kind of rule, belief, or idea that guides you. You can also say a good, ethical person has a lot of ______s.	hard	principle	2	['outgoing', 'eradicate', 'principle', 'orient']
Fill the gaps:  If something neutralizes the effect of something else, then you can say the effect is ______d. Hanging a disco ball from your living room ceiling ______s the sleek modern effect created by the contemporary furniture.	hard	negate	1	['encroach', 'negate', 'justify', 'core']
Fill the gaps:  To ______ means to make sure the laws and rules are being followed. So those guys wearing striped outfits and whistles? They're in charge of enforcing the rules of the game.	hard	enforce	0	['enforce', 'fatigue', 'futile', 'strive']
Fill the gaps:  To ______ is to fully dedicate yourself to something.  To ______  yourself to being the coolest kid on the beach means spending hours at the mall trying on trunks and flip-flops.	hard	commit	1	['striking', 'commit', 'incline', 'incentive']
Fill the gaps:  Almost always used with the preposition "of," the verb ______ means to be made up of, or composed of something. A heated conversation might ______ of only two words: "yes" and "no."	hard	consist	0	['consist', 'ragged', 'proportion', 'monitor']
Fill the gaps:  If you're looking for the most essential part or the very center of something, you're looking for its ______. Like the inedible middle of an apple or your inner circle of ______ friends.	hard	core	2	['predominant', 'jagged', 'core', 'pivotal']
Fill the gaps:  An ______ is an organization or association designed to study or promote something. If you're interested in politics, you might want to do an internship at one of Washington D.C.'s many political research ______s.	hard	institute	2	['constitute', 'policy', 'institute', 'apprehension']
Fill the gaps:  Use the verb ______ when you're chasing after someone or something. A hungry lion might ______ a zebra, the paparazzi might ______ a celebrity, and a young dancer might ______ her dream of becoming a prima ballerina.	hard	pursue	2	['prevail', 'hue', 'pursue', 'potent']
Fill the gaps:  The noun ______ can refer to a physical force (like a collision), an influence (a bad role model or a hero), or a strong effect (a foot of snow will have an ______ on driving conditions).	hard	impact	1	['plausible', 'impact', 'yield', 'flee']
Fill the gaps:  ____ refers to the initial structure of a building. If you ever wanted to walk through walls, you may do it when a new house has just the ____ done, the house will have walls with openings for windows and doors but no plaster or siding.	hard	framework	2	['propagate', 'proportion', 'framework', 'welfare']
Fill the gaps:  ______ means obvious, but, it can also mean something that seems to be true but isn't definite. "The train's arrival is ______ — it's in the station — but ______ly my friend missed it because she is not getting off."	hard	apparent	3	['encroach', 'policy', 'perplex', 'apparent']
Fill the gaps:  To ______ means to make something easier. If your best friend is very shy, you could ______ her efforts to meet new people.	hard	facilitate	3	['orient', 'shred', 'barren', 'facilitate']
Fill the gaps:  To ______ is to make up a whole from smaller parts, or "constituents." "What ______s a family?" means "What makes up a family?"	hard	constitute	1	['refute', 'constitute', 'component', 'grant']
Fill the gaps:  A ______ argument is one that is well-grounded in fact, law or logic. "Their argument for annulment was ______ because they had never even met and their marriage was the result of a clerical error at town hall."	hard	valid	3	['compensate', 'procure', 'apathetic', 'valid']
Fill the gaps:  The word ______ is all about getting things in order. Are your ducks in a row? Well, then you know what it means to ______ something. And if you know exactly where to drop the bomb, then you know what the ______s are.	hard	coordinate	1	['preposterous', 'coordinate', 'prevalent', 'prevail']
Fill the gaps:  After eating too many gingerbread cookies, she no longer fit into her uniform, so she had a seamstress ______ it. It looked pretty much the same.	hard	alter	1	['comprise', 'alter', 'waive', 'recede']
Fill the gaps:  ______ describes your ability to do something or the amount something can hold. If your bird cage is at full ______, you can't stuff one more feathered friend in there without causing birdie claustrophobia.	hard	capacity	2	['comprise', 'incentive', 'capacity', 'elude']
Fill the gaps:  ______ means produce or create. A good stock pick might ______ cash, and a good idea might ______ the basis for an Oscar-winning film.	hard	generate	3	['vanquish', 'barren', 'detrimental', 'generate']
Fill the gaps:  A ______ group is made up of people or things that are very different from each other. If your class mixes kids from all over the world, you could call it ______.	hard	diverse	3	['futile', 'predominant', 'framework', 'diverse']
Fill the gaps:  ______ means a part or feature of something. If you are going to vote for a candidate, you should first learn about the various ______s of her political agenda.	hard	aspect	3	['instrumental', 'policy', 'paradox', 'aspect']
Fill the gaps:  Your ______ is the way you see something. If you think that toys corrupt children's minds, then from your ______ a toy shop is an evil place.	hard	perspective	1	['derivative', 'perspective', 'capacity', 'exhaustive']
Fill the gaps:  Your ______ is your happiness and well being. Parents are usually in charge of their children's ______, making sure they're healthy, happy and well fed.	hard	welfare	2	['facilitate', 'strive', 'welfare', 'analogous']
Fill the gaps:  When we ______ something, we become aware of or notice it. Sometimes we ______ things by using our senses of sight, hearing, and smell.	hard	perceive	2	['tedious', 'dreary', 'perceive', 'incentive']
Fill the gaps:  A _____ is a standard for judging something. If you are holding a cupcake competition, your number one _____ might be the smoothness of frosting.	hard	criteria	3	['ingenuity', 'tenacious', 'consensus', 'criteria']
Fill the gaps:  If you ______ an accordion player for your new polka band, it means you are looking for a band mate.	hard	seek	3	['scheme', 'strenuous', 'perpetuate', 'seek']
Fill the gaps:  ______ means to leave out — like when the cool kids won't let you in on their game of four-square or the pizza guy leaves your neighborhood out from his delivery zone.	hard	exclude	1	['successor', 'exclude', 'meticulous', 'diffuse']
Fill the gaps:  ______ means separate or divided. A ______ unit is a separate part of something larger. A room is a ______ space within a house, just as the crankshaft is a ______ part of a car engine.	hard	discrete	3	['astute', 'synthesize', 'striking', 'discrete']
Fill the gaps:  For something that comes after something else in time or order, choose the adjective ______. If the entire class fails an exam, the teacher will hopefully make ______ ones a little easier.	hard	subsequent	1	['stall', 'subsequent', 'valid', 'impact']
Fill the gaps:  When you ______ yourself towards something, you point yourself towards it, literally or figuratively.	hard	orient	2	['hue', 'plead', 'orient', 'elicit']
Fill the gaps:  A ______ is a particular period of time, like someone whose "teenage rebellion" ______ lasts well into her thirties.	hard	phase	3	['successor', 'recede', 'turbulent', 'phase']
