question	category	explanation	synonym	correct_option	options
Choose the synonym of the following words:  destroy, consume	medium	to completely destroy	demolish	2	['reconcile', 'conducive', 'demolish', 'drawback']
Choose the synonym of the following words:  bizarre, unusual	medium	clearly unusual (used for people or behavior)	eccentric	2	['labor', 'obtain', 'eccentric', 'scrap']
Choose the synonym of the following word: nightfall, sundown, sunset	medium	the time of the day immediately after sun goes down	dusk	2	['gratify', 'considerable', 'dusk', 'labor']
Choose the synonym of the following words:  obstruct, hinder	medium	to make hard or impossible to make progress	impede	3	['invest', 'integral', 'scarce', 'impede']
Choose the synonym of the following words:  bend, distort	medium	to bend into a different shape	warp	0	['warp', 'aware', 'precise', 'regulate']
Choose the synonym of the following words:  absence of feeling, interest	medium	lack of interest	indifference	1	['behalf', 'indifference', 'tentative', 'status']
Choose the synonym of the following words:  filling, completing	medium	combining well to improve both parts	complementary	1	['concede', 'complementary', 'widespread', 'distribute']
Choose the synonym of the following word: flap, overlay	medium	to cover part of, be in the same place or time	overlap	3	['potential', 'conducive', 'proceed', 'overlap']
Choose the synonym of the following words:  huge	medium	too large and difficult to handle	bulky	2	['aware', 'gratify', 'bulky', 'crude']
Choose the synonym of the following words:  beautiful, marvelous	medium	very beautiful	stunning	2	['endeavor', 'overwhelm', 'stunning', 'ornamental']
Choose the synonym of the following words:  dead, obsolete	medium	not existing anymore	extinct	2	['philosophy', 'shimmer', 'extinct', 'labor']
Choose the synonym of the following words:  correct, improve, fix	medium	to fix, especially something torn or broken	mend	3	['provided', 'potential', 'reside', 'mend']
Choose the synonym of the following words:  distribute, scatter	medium	to cause to separate and go in different direction	disperse	2	['abundant', 'concede', 'disperse', 'distinct']
Choose the synonym of the following word: adhere, clasp, fasten	medium	to hold tightly onto	cling	1	['absent', 'cling', 'reside', 'compel']
Choose the synonym of the following words:  plentiful, large in number	medium	very many, more than enough	abundant	3	['network', 'endeavor', 'culminate', 'abundant']
Choose the synonym of the following words:  vulgar, unpolished in manner	medium	simple and made without skill, not processed	crude	0	['crude', 'vast', 'era', 'status']
Choose the synonym of the following words:  disobedient, disregardful	medium	not doing what is ordered	defiant	1	['abrupt', 'defiant', 'slender', 'tint']
Choose the synonym of the following words:  deform, falsify	medium	to change the from what it should be into something different	distort	3	['era', 'prior', 'complementary', 'distort']
Choose the synonym of the following words:  fair, unprejudiced	medium	without preference or bias	impartial	3	['distinct', 'overlap', 'reside', 'impartial']
Choose the synonym of the following words:  gleam	medium	to shine or reflect small bits of light	shimmer	2	['distort', 'authority', 'shimmer', 'site']
Choose the synonym of the following words:  indulgent, wasteful	medium	more than is needed, overly expensive	extravagant	1	['prestigious', 'extravagant', 'aware', 'via']
Choose the synonym of the following words:  adjust, adapt	medium	to match the rule or standard	conform	1	['emit', 'conform', 'obscure', 'prior']
Choose the synonym of the following words:  healthy, strong	medium	strong and full	robust	3	['alternative', 'tint', 'obtain', 'robust']
Choose the synonym of the following words:  keep at, work hard	medium	to continue to do something even though it's difficult	persevere	1	['migrate', 'persevere', 'link', 'regulate']
Choose the synonym of the following words:  sturdy, long-lasting	medium	hard to break or damage	durable	2	['impede', 'provided', 'durable', 'endeavor']
Choose the synonym of the following words:  supply, support	medium	only if	provided	1	['sketch', 'provided', 'secure', 'alternative']
Choose the synonym of the following word: dislike, begrudge, grudge	medium	to be quietly angry about something somebody else did or said	resent	1	['vary', 'resent', 'expose', 'equivalent']
Choose the synonym of the following word: hasty, sudden, sharp	medium	sudden and unexpected or short	abrupt	3	['initial', 'perpetual', 'authority', 'abrupt']
Choose the synonym of the following words:  tendency, bent	medium	a feeling of wanting to choose one option	inclination	1	['labor', 'inclination', 'rigid', 'status']
Choose the synonym of the following words:  determined, continuous	medium	continuing even though somebody tries to stop it	persistent	0	['persistent', 'persist', 'prior', 'obscure']
Choose the synonym of the following words:  rules of conduct, behavior in certain situation	medium	a set of rules about what to do in formal situations	protocol	0	['protocol', 'undertake', 'abrupt', 'durable']
Choose the synonym of the following words:  very large, wide in range	medium	very large or wide	vast	3	['indifference', 'controversial', 'expose', 'vast']
Choose the synonym of the following words:  mix, merge	hard	to become a part of	integrate	0	['integrate', 'clumsy', 'esteem', 'blunt']
Choose the synonym of the following words:  fair, impartial	hard	a goal. based in fact, not an opinion, not from personal belief or ideas	objective	3	['calamity', 'covert', 'core', 'objective']
Choose the synonym of the following words:  force, restrain	hard	to limit the activity, to restrict	constrain	1	['rural', 'constrain', 'turbulent', 'analogous']
Choose the synonym of the following word: acquire, assume, collect	hard	to come from, originate from	derive	0	['derive', 'fraudulent', 'consensus', 'jolt']
Choose the synonym of the following words:  allowance, gift	hard	to agree to give, to admit, to say something is true	grant	1	['perpetuate', 'grant', 'confer', 'monitor']
Choose the synonym of the following word: plot, plan, blueprint, design	hard	a plan, the system by which something is arranged	scheme	2	['entice', 'append', 'scheme', 'oversee']
Choose the synonym of the following words:  fundamental, latent	hard	forming the basis for something	underlying	2	['constrain', 'drowsy', 'underlying', 'pale']
Choose the synonym of the following words:  legitimize, substantiate	hard	to give a good reason for an action or situation (especially one that seem bad)	justify	2	['aspect', 'negate', 'justify', 'eradicate']
Choose the synonym of the following words:  extent, scope of a surface	hard	a range of subjects or studies, a field, a discipline	area	1	['anomaly', 'area', 'barren', 'remnant']
Choose the synonym of the following words:  relative amount, size of part to whole	hard	the size or amount of something compared to the whole or other parts	proportion	0	['proportion', 'alter', 'compulsory', 'outgoing']
Choose the synonym of the following words:  person who watches, oversees	hard	to watch the quality or progress of something over time, something or somebody which monitors	monitor	2	['apparent', 'ominous', 'monitor', 'flee']
Choose the synonym of the following word: body, organization, system	hard	a thing that exists or acts as one	entity	0	['entity', 'instrumental', 'derive', 'synthesize']
Choose the synonym of the following words:  outside, extrinsic	hard	outside (especially of a body or system)	external	1	['covert', 'external', 'incentive', 'deduce']
Choose the synonym of the following words:  constituent	hard	a part of a whole	component	2	['vicarious', 'analogy', 'component', 'calamity']
Choose the synonym of the following word: atone, pay, recoup	hard	to correct a problem with another positive thing	compensate	0	['compensate', 'viable', 'retain', 'cherish']
Choose the synonym of the following words:  figure out, understand	hard	to come to a conclusion through logic and evidence, to figure out	deduce	3	['preposterous', 'negate', 'tedious', 'deduce']
Choose the synonym of the following words:  determinant	hard	a fact that influences or changes a result	factor	2	['deviate', 'faint', 'factor', 'fluctuate']
Choose the synonym of the following words:  procedure, tactics	hard	a rule made by an organization, government, or company	policy	0	['policy', 'probe', 'comprise', 'hue']
Choose the synonym of the following word: employ, keep, contain	hard	to keep, to continue to have or contain	retain	1	['confer', 'retain', 'enforce', 'constitute']
Choose the synonym of the following words:  law, standard	hard	a rule or idea that makes the base for a system (often moral)	principle	2	['predominant', 'eradicate', 'principle', 'perpetuate']
Choose the synonym of the following words:  contradict, countermand	hard	to make not true or not effective	negate	0	['negate', 'strenuous', 'endorse', 'aspect']
Choose the synonym of the following words:  put a rule, plan in force	hard	to make people follow (a rule or law)	enforce	3	['agile', 'ragged', 'fluctuate', 'enforce']
Choose the synonym of the following word: act, do, devote, dedicate	hard	to do or perform (something very negative), to give all of your energy to something	commit	3	['ensue', 'comprise', 'delusion', 'commit']
Choose the synonym of the following words:  exist, reside	hard	to be made of	consist	0	['consist', 'hue', 'fatigue', 'synthesize']
Choose the synonym of the following words:  center, gist	hard	central, of fundamental importance, the center of something	core	0	['core', 'deviate', 'oblong', 'principle']
Choose the synonym of the following words:  law, custom	hard	to start (a rule or system), a group or organization that studies or works for something specific	institute	3	['apathy', 'outgoing', 'striking', 'institute']
Choose the synonym of the following words:  chase, follow	hard	to follow, to chase, to try to achieve (a dream or goal)	pursue	1	['welfare', 'pursue', 'confer', 'vivid']
Choose the synonym of the following words:  collision, force	hard	an effect that changes a situation, to effect strongly, the force of being hit hard	impact	3	['strenuous', 'striking', 'underlying', 'impact']
Choose the synonym of the following words:  foundation, core	hard	a structure for a building, system or idea	framework	2	['procure', 'harness', 'framework', 'waive']
Choose the synonym of the following words:  seeming, not proven real	hard	clearly seen or understood, seeming (but not definitely true)	apparent	2	['ensue', 'intrinsic', 'apparent', 'novel']
Choose the synonym of the following word: aid, ease, expedite	hard	to make easier	facilitate	0	['facilitate', 'mundane', 'recede', 'subsequent']
Choose the synonym of the following words:  comprise, form	hard	to be the pieces that makes a whole	constitute	1	['seek', 'constitute', 'propagate', 'scores']
Choose the synonym of the following words:  right, genuine	hard	from a reasonable or correct basis	valid	2	['append', 'pale', 'valid', 'successor']
Choose the synonym of the following words:  equivalent	hard	to work or communicate with the different people, groups, or pieces involved in a large project	coordinate	2	['eradicate', 'transitory', 'coordinate', 'turbulent']
Choose the synonym of the following words:  change	hard	to change, to adjust	alter	0	['alter', 'ingenuity', 'perpetuate', 'oblong']
Choose the synonym of the following words:  volume, limit of volume held	hard	the amount or volume something can hold, ability (especially mental)	capacity	2	['pursue', 'comprise', 'capacity', 'apprehension']
Choose the synonym of the following words:  produce, create	hard	to create, to produce (especially energy)	generate	1	['futile', 'generate', 'diffuse', 'preposterous']
Choose the synonym of the following words:  different, various	hard	having many different types	diverse	3	['intersperse', 'counterpart', 'prevail', 'diverse']
Choose the synonym of the following word: feature, condition, ingredient	hard	a feature, a characteristic, a particular part of something	aspect	0	['aspect', 'endorse', 'subsume', 'fluctuate']
Choose the synonym of the following words:  view, outlook	hard	the appearance of objects from a particular direction, a point of view, an opinion	perspective	2	['rural', 'ensue', 'perspective', 'jolt']
Choose the synonym of the following words:  prosperity	hard	the health and happiness of a person or group	welfare	3	['agile', 'factor', 'affluent', 'welfare']
Choose the synonym of the following words:  notice, see	hard	to be aware of , to sense or feel	perceive	2	['incentive', 'waive', 'perceive', 'commit']
Choose the synonym of the following words:  test, gauge for judgment	hard	the measures by which something is judged or decided	criteria	2	['innate', 'dynamic', 'criteria', 'welfare']
Choose the synonym of the following word: explore, follow, investigate	hard	to look for, to search	seek	2	['underlying', 'drowsy', 'seek', 'viable']
Choose the synonym of the following words:  expel, forbid	hard	to not include, to keep out of a list or group	exclude	0	['exclude', 'harness', 'prevalent', 'generate']
Choose the synonym of the following words:  individual	hard	separate, not the same thing and with no parts in common	discrete	0	['discrete', 'calamity', 'liable', 'meticulous']
Choose the synonym of the following words:  after	hard	immediately after	subsequent	3	['propagate', 'detrimental', 'rustic', 'subsequent']
Choose the synonym of the following words:  familiarize	hard	to move into a position in line with some specific point, to explore and become comfortable with	orient	2	['fraudulent', 'principle', 'orient', 'covert']
Choose the synonym of the following word: aspect, chapter, stage, period	hard	a period of time in a longer process of change	phase	2	['preposterous', 'scheme', 'phase', 'confer']
Choose the synonym of the following words:  come out, arise	hard	to come out of	emerge	2	['perceive', 'irrevocable', 'emerge', 'analogy']
Choose the synonym of the following words:  prosperity	hard	the health, happiness, and fortunes of a person or group.	welfare	2	['probe', 'cherish', 'welfare', 'framework']
Choose the synonym of the following words:  tiredness	hard	extreme tiredness from too much work	fatigue	1	['strive', 'fatigue', 'apparent', 'propagate']
Choose the synonym of the following words:  active, vital	hard	able to change, changing frequently	dynamic	1	['liable', 'dynamic', 'perceive', 'consensus']
Choose the synonym of the following word: admire, adore, appreciate	hard	to care for lovingly	cherish	1	['novel', 'cherish', 'twilight', 'barren']
Choose the synonym of the following word: blanched, bleached, dim	hard	with very little colour	pale	3	['analogy', 'striking', 'relic', 'pale']
Choose the synonym of the following words:  deceptive	hard	not real, based on an illusion	illusory	0	['illusory', 'rustic', 'ominous', 'cozy']
Choose the synonym of the following words:  splash, make a mess	hard	slanted, higher at one end and lower at the other	slopping	2	['astute', 'potent', 'slopping', 'factor']
Choose the synonym of the following words:  withdraw, diminish	hard	to go back to previous position	recede	0	['recede', 'illusory', 'viable', 'welfare']
Choose the synonym of the following words:  misconception, misbelief	hard	an incorrect idea that somebody believes strongly	delusion	2	['adjacent', 'plausible', 'delusion', 'comprise']
Choose the synonym of the following words:  perceptive	hard	able to see the most important information to make a decision	astute	3	['instrumental', 'barren', 'analogy', 'astute']
Choose the synonym of the following words:  agreeing, similar	hard	similar in some respects but otherwise different	analogous	1	['serene', 'analogous', 'proliferate', 'comprise']
Choose the synonym of the following words:  damaging, disadvantageous	hard	causing harm or injury	detrimental	3	['alter', 'cherish', 'elude', 'detrimental']
Choose the synonym of the following words:  surprise, sudden push	hard	to suddenly move or push hard	jolt	3	['factor', 'waive', 'endorse', 'jolt']
Choose the synonym of the following words:  heir	hard	a person who has a role after a previous person	successor	1	['impact', 'successor', 'seek', 'probe']
Choose the synonym of the following words:  influential, assisting	hard	acting as a key part of a process	instrumental	2	['recede', 'delusion', 'instrumental', 'propagate']
Choose the synonym of the following words:  add, join	hard	to add to the end	append	2	['seek', 'perpetuate', 'append', 'astute']
Choose the synonym of the following words:  ridiculous, bizarre	hard	completely impossible, ridiculous	preposterous	3	['vicarious', 'stall', 'welfare', 'preposterous']
Choose the synonym of the following words:  assemble, come together	hard	to come together into a crowd	congregate	0	['congregate', 'anomaly', 'calamity', 'secrete']
Choose the synonym of the following word: ache, condition, disease	hard	a small sickness or cause of physical discomfort	ailment	0	['ailment', 'jolt', 'intrinsic', 'ingenuity']
Choose the synonym of the following words:  breed, reproduce	hard	to separate widely,create more of	propagate	3	['harness', 'phase', 'secluded', 'propagate']
Choose the synonym of the following words:  lure, inducement	hard	a promised reward to motivate	incentive	3	['calamity', 'dormant', 'meager', 'incentive']
Choose the synonym of the following words:  deceptive, false	hard	fake or untrue (generally of illegal claims)	fraudulent	3	['stall', 'relic', 'cozy', 'fraudulent']
Choose the synonym of the following words:  vacillate, change	hard	to go up and down regularly in amount	fluctuate	0	['fluctuate', 'facilitate', 'encroach', 'consist']
Choose the synonym of the following word: dusk, sunset, decline	hard	the time of evening before complete darkness	twilight	2	['institute', 'paradox', 'twilight', 'confer']
Choose the synonym of the following words:  match, identical part or thing	hard	a person or thing with the same function as another in a different place	counterpart	3	['irrevocable', 'exhaustive', 'medium', 'counterpart']
Choose the synonym of the following words:  deviation from normal, usual	hard	something that is not normal, standard or expected	anomaly	0	['anomaly', 'outlook', 'flee', 'append']
Choose the synonym of the following words:  all-inclusive, complete	hard	complete and very detailed	exhaustive	0	['exhaustive', 'esteem', 'vanquish', 'refute']
Choose the synonym of the following words:  intense, powerful	hard	with strong images or colors	vivid	1	['waive', 'vivid', 'alter', 'discrete']
Choose the synonym of the following word: antique, antiquity, artifact	hard	a highly valued object from a very long long time ago	relic	2	['rustic', 'perpetuate', 'relic', 'detrimental']
Choose the synonym of the following word: chisel, divide, engrave	hard	to cut from a hard material	carve	0	['carve', 'induce', 'stall', 'barren']
Choose the synonym of the following words:  allure, persuade	hard	to attract or persuade with promises of benefits	entice	0	['entice', 'innate', 'ominous', 'principle']
Choose the synonym of the following words:  expend, spend	hard	to completely separate in all direction	dissipate	2	['integrate', 'exhaustive', 'dissipate', 'capacity']
Choose the synonym of the following words:  difficult, requiring hard work	hard	requiring a lot of physical effort	strenuous	0	['strenuous', 'feasible', 'diverse', 'invoke']
Choose the synonym of the following word: dull, dulled, round	hard	not sharp	blunt	2	['consist', 'plead', 'blunt', 'clumsy']
Choose the synonym of the following words:  binding	hard	required by rule	compulsory	1	['criteria', 'compulsory', 'arduous', 'ominous']
Choose the synonym of the following words:  detailed, perfectionist	hard	with careful attention to details	meticulous	3	['entity', 'pursue', 'prevalent', 'meticulous']
Choose the synonym of the following word: conquer, crush, overcome	hard	to win completely in a competition or fight	vanquish	1	['elicit', 'vanquish', 'retain', 'dreary']
Choose the synonym of the following words:  country, rural	hard	of the countryside, simple and old-fashioned	rustic	0	['rustic', 'proliferate', 'exclude', 'astute']
Choose the synonym of the following words:  demonstrative, extroverted	hard	comfortable when talking to other people	outgoing	2	['serene', 'perceive', 'outgoing', 'drowsy']
Choose the synonym of the following words:  cause to happen, encourage	hard	to cause to happen	induce	0	['induce', 'futile', 'recede', 'devise']
Choose the synonym of the following words:  temporary	hard	lasting a very short time	transitory	2	['institute', 'deduce', 'transitory', 'counterpart']
Choose the synonym of the following words:  ordinary	hard	ordinary and boring	mundane	0	['mundane', 'blatant', 'ailment', 'medium']
Choose the synonym of the following words:  beg, request	hard	to ask for emotionally, to beg	plead	0	['plead', 'underlying', 'ensue', 'eradicate']
Choose the synonym of the following words:  clandestine, underhanded	hard	secret or hidden	covert	3	['tedious', 'blunt', 'predominant', 'covert']
Choose the synonym of the following words:  confuse, mix up	hard	to confuse somebody	perplex	2	['outlook', 'fluctuate', 'perplex', 'coordinate']
Choose the synonym of the following words:  hide	hard	to produce a liquid (from or withing a living thing)	secrete	2	['evade', 'enforce', 'secrete', 'potent']
Choose the synonym of the following words:  try for, exert oneself	hard	to try hard to achieve something	strive	0	['strive', 'perceive', 'novel', 'ingenuity']
Choose the synonym of the following words:  dull, monotonous	hard	long and boring	tedious	0	['tedious', 'outlook', 'thrive', 'harness']
Choose the synonym of the following words:  serious, gloomy	hard	very serious	grave	1	['anomalous', 'grave', 'criteria', 'plausible']
Choose the synonym of the following words:  invade another's property, business	hard	to move very near an acceptable limit	encroach	3	['perspective', 'delusion', 'consist', 'encroach']
Choose the synonym of the following words:  investigation	hard	to explore and learn about using hands or a tool	probe	2	['phase', 'ominous', 'probe', 'diverse']
Choose the synonym of the following words:  fixed, unchangeable	hard	impossible to reversed	irrevocable	0	['irrevocable', 'remnant', 'comprise', 'potent']
Choose the synonym of the following words:  important	hard	extremely important in order to succeed	pivotal	2	['rustic', 'ingenuity', 'pivotal', 'implausible']
Choose the synonym of the following word: arid, desolate, empty	hard	not able to produce plants (of lands)	barren	2	['ensue', 'futile', 'barren', 'secrete']
Choose the synonym of the following words:  anxiety, fear	hard	feat that something bad will happen	apprehension	3	['drowsy', 'irrevocable', 'endorse', 'apprehension']
Choose the synonym of the following words:  cleverness	hard	the quality of being clever and original	ingenuity	3	['affluent', 'irrevocable', 'turbulent', 'ingenuity']
Choose the synonym of the following word: accord, consent, harmony	hard	an agreement reached by a whole group of people	consensus	1	['policy', 'consensus', 'prevail', 'plausible']
Choose the synonym of the following word: remainder, leftovers, fragment, particle	hard	a small piece that is left when most is gone	remnant	1	['liable', 'remnant', 'rustic', 'futile']
Choose the synonym of the following words:  give up, let go	hard	to say officially that a normal requirement isn't required	waive	3	['undermine', 'apathy', 'grave', 'waive']
Choose the synonym of the following words:  no longer in use, in vogue	hard	not used anymore	obsolete	2	['secrete', 'entice', 'obsolete', 'proportion']
Choose the synonym of the following words:  new, original	hard	interestingly new or different	novel	2	['incline', 'core', 'novel', 'procure']
Choose the synonym of the following word: view, prospect, direction, perspective	hard	how a person thinks about the world	outlook	2	['harness', 'coordinate', 'outlook', 'grant']
Choose the synonym of the following words:  combine, make whole	hard	to combine two different things into one	synthesize	0	['synthesize', 'tedious', 'medium', 'novel']
Choose the synonym of the following words:  effective, powerful, forceful	hard	with a very strong effect	potent	0	['potent', 'feasible', 'superfluous', 'blatant']
Choose the synonym of the following words:  extra, unnecessary	hard	more than is needed/desired/required	superfluous	0	['superfluous', 'arduous', 'rustic', 'negate']
Choose the synonym of the following words:  total, points	hard	a large number of something	scores	2	['novel', 'pursue', 'scores', 'strive']
Choose the synonym of the following word: belt, strap, equipment	hard	to take control of power or energy in order to use it	harness	0	['harness', 'seek', 'outlook', 'confer']
Choose the synonym of the following words:  destroy, remove	hard	to completely destroy	eradicate	0	['eradicate', 'component', 'deduce', 'liable']
Choose the synonym of the following words:  uncaring, disinterested	hard	with no emotion or interest	apathetic	0	['apathetic', 'illusory', 'endorse', 'proportion']
Choose the synonym of the following words:  break, rupture	hard	to break (of something very hard)	fracture	0	['fracture', 'flee', 'astute', 'apathy']
Choose the synonym of the following words:  support, authorize	hard	to publicly agree with and support	endorse	1	['exclude', 'endorse', 'policy', 'impact']
Choose the synonym of the following words:  calm, undisturbed	hard	perfectly calm	serene	2	['vanquish', 'fracture', 'serene', 'entity']
Choose the synonym of the following words:  hopeless, pointless	hard	without the possibility of success	futile	1	['slopping', 'futile', 'grave', 'scores']
Choose the synonym of the following words:  possible, doable	hard	possible to do without problem	feasible	0	['feasible', 'congregate', 'apparent', 'fatigue']
Choose the synonym of the following words:  improve, correct	hard	to make small change to improve	amend	1	['oblong', 'amend', 'impact', 'obsolete']
Choose the synonym of the following words:  conceive, dream up	hard	to think of or plan an idea or system	devise	0	['devise', 'preposterous', 'encroach', 'jolt']
Choose the synonym of the following words:  contradiction, puzzle	hard	a situation that seems impossible because it is made of opposite things	paradox	3	['policy', 'eradicate', 'refute', 'paradox']
Choose the synonym of the following word: enormous, gargantuan, gigantic	hard	extremely large	colossal	0	['colossal', 'predominant', 'drowsy', 'impact']
Choose the synonym of the following words:  borrowed, transmitted from source	hard	imitating or based on	derivative	2	['strenuous', 'counterpart', 'derivative', 'valid']
Choose the synonym of the following word: dubious, farfetched, flimsy	hard	describing a statement that is not believable	implausible	1	['proliferate', 'implausible', 'amend', 'elicit']
Choose the synonym of the following word: depart, differ, diverge	hard	to turn away from a plan or standard	deviate	1	['perspective', 'deviate', 'cherish', 'core']
Choose the synonym of the following words:  wealthy	hard	wealthy	affluent	3	['jolt', 'hue', 'barren', 'affluent']
Choose the synonym of the following words:  extraordinary, beautiful	hard	very noticeable and unusual	striking	3	['diffuse', 'propagate', 'consensus', 'striking']
Choose the synonym of the following words:  reasonable, practicable	hard	possible to be done successfully	viable	2	['enforce', 'dissipate', 'viable', 'refute']
Choose the synonym of the following words:  not agile, awkward	hard	awkward and without skill	clumsy	1	['diverse', 'clumsy', 'incentive', 'fraudulent']
Choose the synonym of the following words:  bumpy, weathered	hard	rough and uneven or rocky	rugged	2	['apathy', 'encroach', 'rugged', 'underlying']
Choose the synonym of the following words:  small, inadequate, poor	hard	not enough in amount	meager	2	['upheaval', 'predominant', 'meager', 'calamity']
Choose the synonym of the following words:  fast-moving, active	hard	quick and energetic	brisk	1	['amend', 'brisk', 'generate', 'conspicuous']
Choose the synonym of the following words:  intellectual, thoughtful	hard	extremely strongly felt	profound	0	['profound', 'yield', 'tame', 'exclude']
Choose the synonym of the following word: appeal to, cite, use	hard	to mention a topic in order to make people feel a certain way	invoke	0	['invoke', 'upheaval', 'shred', 'vivid']
Choose the synonym of the following words:  inactive, sleeping	hard	inactive now but able to become active later	dormant	3	['plead', 'agile', 'shred', 'dormant']
Choose the synonym of the following words:  unsettled, raging (referring to weather)	hard	a little bit chaotic or violent and disorganized	turbulent	2	['coordinate', 'cozy', 'turbulent', 'vicarious']
Choose the synonym of the following words:  scatter	hard	to place among or between other things	intersperse	3	['ailment', 'oblong', 'vicarious', 'intersperse']
Choose the synonym of the following words:  strong, unyielding	hard	unchanging and stubborn	tenacious	0	['tenacious', 'alter', 'secluded', 'negate']
Choose the synonym of the following words:  agreement, similarity	hard	a comparison of two very different things that have one similar aspect	analogy	2	['upheaval', 'brisk', 'analogy', 'fracture']
Choose the synonym of the following words:  worn-out, in shreds	hard	with uneven edges, torn	ragged	1	['synthesize', 'ragged', 'strenuous', 'tenacious']
Choose the synonym of the following word: obtain, evoke, extract	hard	to cause feeling or responses to come out	elicit	3	['apathetic', 'liable', 'futile', 'elicit']
Choose the synonym of the following words:  dominate, control	hard	to continue to exist, staying important or common	prevail	2	['amend', 'plausible', 'prevail', 'outlook']
Choose the synonym of the following words:  comforting, soft, warm	hard	small, warm and comfortable	cozy	2	['framework', 'strenuous', 'cozy', 'derivative']
Choose the synonym of the following word: delicate, dim, distant	hard	very light or small	faint	3	['relic', 'component', 'dynamic', 'faint']
Choose the synonym of the following word: cataclysm, catastrophe, disaster	hard	a violent, sudden and large change	upheaval	2	['colossal', 'affluent', 'upheaval', 'cozy']
Choose the synonym of the following word: bloom, blossom, boom	hard	to grow strong and healthy	thrive	3	['negate', 'preposterous', 'irrevocable', 'thrive']
Choose the synonym of the following words:  physically or mentally nimble, deft	hard	moving quickly and lightly	agile	0	['agile', 'tedious', 'jolt', 'apathetic']
Choose the synonym of the following word: halt, hamper, hinder	hard	to delay or pause in order to get more time	stall	0	['stall', 'principle', 'seek', 'viable']
Choose the synonym of the following words:  difficult, hard to endure	hard	difficult and requiring a lot of effort	arduous	1	['turbulent', 'arduous', 'futile', 'apathetic']
Choose the synonym of the following words:  sleepy	hard	sleepy	drowsy	2	['apathetic', 'perpetuate', 'drowsy', 'serene']
Choose the synonym of the following words:  reasonable, believable	hard	possible true , realistic	plausible	2	['justify', 'fracture', 'plausible', 'invoke']
Choose the synonym of the following word: broadcast, circulated, diluted	hard	to spread out widely	diffuse	3	['viable', 'anomaly', 'hue', 'diffuse']
Choose the synonym of the following word: bolster, maintain, preserve	hard	to cause to continue	perpetuate	1	['strive', 'perpetuate', 'valid', 'ingenuity']
Choose the synonym of the following words:  midway, average	hard	the material or method used, especially for communication and art	medium	3	['aspect', 'propagate', 'impact', 'medium']
Choose the synonym of the following words:  color, shade	hard	a color	hue	2	['desist', 'perplex', 'hue', 'constitute']
Choose the synonym of the following words:  country, not urban	hard	in or relating to the countryside, away from cities	rural	3	['innate', 'feasible', 'meticulous', 'rural']
Choose the synonym of the following words:  deviating from normal, usual	hard	not normal	anomalous	3	['derivative', 'facilitate', 'viable', 'anomalous']
Choose the synonym of the following words:  make secure, join together	hard	to attach or tie gently to something (not using glue)	fasten	3	['subsume', 'apathy', 'fatigue', 'fasten']
Choose the synonym of the following words:  answerable, responsible	hard	likely to do or happen (usually liable to in a negative way)	liable	0	['liable', 'carve', 'undermine', 'proportion']
Choose the synonym of the following word: fragment, iota, modicum	hard	a very small amount	shred	3	['probe', 'meager', 'objective', 'shred']
Choose the synonym of the following words:  start to happen, come to pass	hard	to happen as a result	ensue	3	['profound', 'integrate', 'intersperse', 'ensue']
Choose the synonym of the following words:  abrupt, steep	hard	only (use to show large amounts of one thing having an effect)	sheer	2	['incentive', 'novel', 'sheer', 'relic']
Choose the synonym of the following words:  ragged, notched	hard	uneven and sharp	jagged	0	['jagged', 'outlook', 'invoke', 'tedious']
Choose the synonym of the following words:  prove false, discredit	hard	to prove to be false or incorrect	refute	1	['diverse', 'refute', 'sheer', 'confer']
Choose the synonym of the following words:  avoid, escape	hard	to not be caught	elude	1	['waive', 'elude', 'devise', 'instrumental']
Choose the synonym of the following words:  accepted, widespread	hard	common throughout a wide area at a certain time	prevalent	3	['exclude', 'seek', 'conspicuous', 'prevalent']
Choose the synonym of the following word: breed, burgeon, escalate	hard	to grow in number quickly	proliferate	2	['policy', 'evade', 'proliferate', 'alter']
Choose the synonym of the following words:  ruling, most important	hard	most frequent or common	predominant	3	['meager', 'justify', 'brisk', 'predominant']
Choose the synonym of the following words:  obvious, easily seen	hard	easy to see	conspicuous	2	['preposterous', 'entity', 'conspicuous', 'consensus']
Choose the synonym of the following word: aromatic, delicious, perfumed	hard	having a strong, good smell	fragrant	3	['covert', 'scores', 'irrevocable', 'fragrant']
Choose the synonym of the following words:  inherited, native	hard	existing from birth, not learned	innate	3	['secluded', 'constrain', 'drowsy', 'innate']
Choose the synonym of the following words:  slope	hard	an area that is higher at one end and lower at the other	incline	3	['component', 'coordinate', 'harness', 'incline']
Choose the synonym of the following words:  manage, supervise	hard	to lead an be sure something is done correctly	oversee	0	['oversee', 'vanquish', 'fragrant', 'entice']
Choose the synonym of the following words:  stop, refrain from	hard	to stop doing	desist	0	['desist', 'futile', 'append', 'meager']
Choose the synonym of the following words:  uncaring attitude, lack of interest	hard	an absence of emotion or enthusiasm	apathy	2	['diverse', 'rugged', 'apathy', 'subsume']
Choose the synonym of the following words:  mediate	hard	to become involved in order to stop or change a bad situation	intervene	0	['intervene', 'instrumental', 'sheer', 'append']
Choose the synonym of the following words:  disaster, tragedy	hard	an event resulting in a lot of loss or pain	calamity	3	['subsume', 'plausible', 'integrate', 'calamity']
